L-EE,we can see a yellow rose because red blue and green are going to the flower red and green bounce into your eyes but blue absorbs
L-EE,you can see a red rose because red bounces of and goes into your eyes blue and green get absorbed
L-EE,when you see a red flower the red light bounces off the flower in to our eyes and the green blue gets absorbed
L-EE,when you shine a light through a glass prism it ell make a rainbow on the surface it needs to be white light of the colors light wail be to strong and wont split up into the rainbow
L-EE,this is how absorbing and reflecting works the colors that make the object will be reflected and the leftover color will be wasted not used
L-EE,a shadow is mad by an object in front of a light stream the light cant go around and then no light git be hind the objects and its dark
L-EE,my theory is that light travels in waves i leaned this by doing an ensnarement the end resale was a wave pattern like doping to pebbles in a pond and the reason is like light
L-EE,most glowing things are painted with a layer of fluorescent paint this paint absorbs light and when it is dark the absorbed light would unleash the light that it saved until its empty and has no more light
L-EE,a lunar eclipse is the opiate of a solar eclipse a lunar eclipse is when the earth goes in front of the moon the earth is also opaque but the shadow this time is bigger
L-EE,if light hits a red rose red gets reflected and blue and green get absorbed thats why we see red
L-EE,but with a yellow rose green and red get reflected and blue gets absorbed because red and green make yellow
L-EE,a lunar eclipse is when the moon over laps the sun and blackens out the sky so no one ca see the sun and the sun and the moon turn black
L-EE,what is absorbing my understanding is that when white light hits a red object all the colors that make white red green and blue blue and green are reflected and red is absorbed
L-EE,what is reflecting my understanding is like before we have a red dress when white light hits the red dress blue and green are reflected and red is absorbed why i think there reflected is because its not the same color
L-EE,this is how we can see a red rose white light hits the rose red is reflected and blue and green are absorbed and the rose papers upside down and back wards but your brain turns it to the right way
L-EE,new information a lunar eclipse is when the earth is between the sun and the moon since the earth is in front of the moon it castes a shadow over the moon making it in total darkness
L-EE,a solar eclipse is when the moon casts a show over the earth and its just like a lunar eclipse precept what i just told you
L-EE,the way we see a red rose is that white light contains the primary coleus of light red blue and green what happens is that the red light hitting a red rose the red light bounces off and into our eyes and the other colors get absorbed
L-EE,with a yellow ors its pretty much the same thing but 2 colors don't get absorbed they mix and bounce off as one ray
L-EE,the northern lights are cosed by partials from the sun the particles are so small you couldn't see them how they acute is when the particles hit highest thing of the earths atmosphere they electrify the air making it glow
L-EE,convex mirrors are used in stores they let you see around corners and stuff ltd shaped like a ball with the top cut off the way it lets you see around corners is it does everything but catch light so it bounces off as an angle
L-EE,all we see is light the way i can prove it is that the same color light bounces off things that are supposed to be that color then the color bounces into your eye three primary colors are in white light so if you mix those you'll get any color
L-EE,i just learned that a lunar eclipse occurs when the earth is between the sun and the moon the earth is in front of the moon and behind the sun which makes a huge shadow over the moon
L-EE,this is how rainbows are made with rain the sky is still moist and there are drops in the air which can be used like prisms so if the left over raindrops can be used like prisms then the light can shine through it to make a rainbow
